Sr_no,Username,Insta_Id,Profile_Id,Bio,Is_Business_Account,Email,Posts,Followers,Following,Business_Category_Name,Category_Name,FF_Ratio
1,chiccbychoice,https://www.instagram.com/chiccbychoice/,46925817577,"shop your aesthetics👒
-Noida, India based 📍
-cash on delivery available
-free shipping on all orders",TRUE,Null,154,3099,4090,Personal Goods & General Merchandise Stores,Shopping & Retail,0.76
2,mishvene_,https://www.instagram.com/mishvene_/,1374896379,"Where love is thin faults are thick. •22• Sky is blue like me and you. 
Hey Siri, remove my makeup
Thank you for vibing with me. Taadaaa",FALSE,Null,1059,6719,1448,Null,Personal Blog,4.64
3,nishthaparwanda,https://www.instagram.com/nishthaparwanda/,5545167727,"she/her
To define is to limit.",FALSE,Null,2,2471,666,Null,None,3.71
4,rishika.narang,https://www.instagram.com/rishika.narang/,1409559136,,FALSE,Null,96,1857,973,Null,None,1.91
5,anika.vid,https://www.instagram.com/anika.vid/,4223265268,"Where words fail, music speaks🌈✨",FALSE,Null,198,44305,340,Null,Artist,130.31
6,kavyap.25,https://www.instagram.com/kavyap.25/,344464318,"Wish me on 08/25 🎊
Smart. Sophisticated. Straight up class act. 💋
ADIS’16||NPS’18||BPDC’22 🎓
Selenator | Twinner ❤️
DM for collab 🙈",FALSE,Null,134,4011,2533,Null,Personal Blog,1.58
7,anushka.singh15,https://www.instagram.com/anushka.singh15/,1567173807,"Hi I paint !🧑🏻‍🎨 
Engineer | Model | Artist 
Ex-President @allurefashionclub
Dubai🇦🇪",FALSE,Null,270,1929,444,Null,None,4.34
8,chanchalljat,https://www.instagram.com/chanchalljat/,1571059011,"📍Dubai
@gymted.co code: CHANJ10
Casual coffee lover down for watching sunsets with anyone’s dog.",FALSE,Null,93,1099,997,Null,None,1.1
9,anchal_x25,https://www.instagram.com/anchal_x25/,7412240493,"Checkout my favorite movies and recommendations in the highlight “Moviessss” 👇
ADIS’18🇦🇪 | DTU’22 🇮🇳",FALSE,Null,37,3158,872,Null,Personal Blog,3.62
10,shilpa__sreekumar,https://www.instagram.com/shilpa__sreekumar/,6743422171,"𝐃𝐚𝐧𝐜𝐞𝐫 | 𝐂𝐡𝐞𝐧𝐝𝐚 𝐚𝐫𝐭𝐢𝐬𝐭 | 𝐏𝐞𝐫𝐟𝐨𝐫𝐦𝐞𝐫
𝐊𝐮𝐭𝐭𝐚𝐧𝐩𝐢𝐥𝐥𝐚𝐲𝐮𝐝𝐞 𝐒𝐢𝐯𝐚𝐫𝐚𝐭𝐡𝐫𝐢🎥 
𝐈𝐇𝐒 | 𝐁𝐈𝐓𝐒 𝐏𝐢𝐥𝐚𝐧𝐢🎓
𝐃𝐌 𝐟𝐨𝐫 𝐜𝐨𝐥𝐥𝐚𝐛𝐬/𝐞𝐧𝐪𝐮𝐢𝐫𝐢𝐞𝐬 📩",TRUE,Null,220,2443,715,Creators & Celebrities,Artist,3.42
11,anuja0201,https://www.instagram.com/anuja0201/,12110657705,"Picking out the best out of worst 🤍
President : @debsoc_lic ✨",FALSE,Null,223,1322,1090,Null,None,1.21
